1, 13, a, bug
2, 14, ne, bug
3, 19, ça, bug
4, 21, ai, bug
5, 27, y, bug
6, 39, suis, not bug
7, 43, va, bug
8, 51, se, bug
9, 53, était, bug
10, 56, ici, bug
11, 57, sais, not bug
12, 59, veux, bug
13, 63, dit, bug
14, 64, es, not bug
15, 68, sont, bug
16, 69, cette, bug
17, 74, peux, bug
18, 75, vais, not bug
19, 79, avez, bug
20, 84, ont, bug
21, 90, allez, bug
22, 93, ces, not bug
23, 94, faut, bug
24, 96, êtes, not bug
25, 99, fais, not bug
26, 101, peut, bug
27, 103, m, bug
28, 106, peu, bug
29, 110, notre, bug
30, 116, avait, bug
31, 118, vu, bug
32, 124, viens, not bug
33, 125, crois, not bug
34, 127, dois, not bug
35, 134, étais, not bug
36, 137, aime, bug
37, 139, avais, not bug
38, 142, ans, not bug
39, 144, ses, not bug
40, 146, vos, not bug
41, 149, veut, bug
42, 150, eu, bug
43, 151, sera, bug
44, 152, bonne, bug
45, 153, parce, bug
46, 157, tes, not bug
47, 158, ca, bug
48, 159, dis, not bug
49, 162, doit, bug
50, 163, vois, not bug
51, 165, vas, not bug
52, 174, autres, not bug
53, 175, ii, bug
54, 176, toute, bug
55, 178, ll, bug
56, 182, nos, not bug
57, 183, ouais, not bug
58, 184, pense, bug
59, 190, cet, bug
60, 191, avons, not bug
61, 196, arrive, bug
62, 200, regarde, bug
63, 207, plaît, bug
64, 213, appelle, bug
65, 214, passe, bug
66, 219, arrête, bug
67, 220, faites, not bug
68, 221, voulez, bug
69, 222, hé, bug
70, 223, attends, not bug
71, 228, aurais, not bug
72, 229, voulais, not bug
73, 231, parle, bug
74, 232, ok, bug
75, 233, jours, not bug
76, 234, dû, bug
77, 238, gars, not bug
78, 239, hommes, not bug
79, 243, sommes, not bug
80, 245, eh, bug
81, 247, connais, not bug
82, 248, petite, bug
83, 251, savez, bug
84, 253, sait, bug
85, 257, pris, not bug
86, 260, prends, not bug
87, 263, serait, bug
88, 265, hui, bug
89, 268, pu, bug
90, 269, seule, bug
91, 271, ni, bug
92, 272, allons, not bug
93, 278, comprends, not bug
94, 279, entendu, bug
95, 280, trouvé, bug
96, 283, vient, bug
97, 285, aurait, bug
98, 286, quelques, not bug
99, 288, demande, bug
100, 292, pourrait, bug
101, 294, pouvez, bug
102, 298, amis, not bug
103, 299, venez, bug
104, 302, fini, bug
105, 305, truc, bug
106, 306, tiens, not bug
107, 308, eux, bug
108, 309, mec, bug
109, 310, yeux, bug
110, 311, laisse, bug
111, 312, super, bug
112, 313, belle, bug
113, 317, heures, not bug
114, 319, importe, bug
115, 321, vont, bug
116, 325, tué, bug
117, 334, mme, bug
118, 335, prie, bug
119, 337, trouve, bug
120, 340, compris, not bug
121, 342, leurs, not bug
122, 344, arrivé, bug
123, 346, chérie, bug
124, 349, étaient, bug
125, 350, ie, bug
126, 351, perdu, bug
127, 353, sois, not bug
128, 356, aimerais, not bug
129, 358, donne, bug
130, 359, attendez, bug
131, 362, devrais, not bug
132, 367, venu, bug
133, 372, savais, not bug
134, 374, s, not bug
135, 375, parlé, bug
136, 376, minutes, not bug
137, 377, regardez, bug
138, 379, première, bug
139, 383, dernière, bug
140, 384, donné, bug
141, 385, ia, bug
142, 387, écoute, bug
143, 389, devrait, bug
144, 390, mis, not bug
145, 392, aucune, bug
146, 398, femmes, not bug
147, 400, pourrais, not bug
148, 401, espère, bug
149, 403, h, bug
150, 404, boulot, bug
151, 410, désolée, bug
152, 411, grande, bug
153, 415, filles, not bug
154, 419, pensais, not bug
155, 424, dirait, bug
156, 427, demandé, bug
157, 429, mains, not bug
158, 433, années, not bug
159, 436, dites, not bug
160, 444, ceux, bug
161, 448, essaie, bug
162, 457, font, bug
163, 459, c, bug
164, 460, dollars, not bug
165, 462, dr, bug
166, 466, voulait, bug
167, 473, serai, bug
168, 475, á, bug
169, 476, souviens, not bug
170, 477, o, bug
171, 478, voyez, bug
172, 482, fera, bug
173, 483, prend, bug
174, 488, croyais, not bug
175, 490, devez, bug
176, 491, suffit, bug
177, 494, ben, bug
178, 499, messieurs, not bug
179, 501, voudrais, not bug
180, 503, prenez, bug
181, 505, voit, bug
182, 507, lls, not bug
183, 512, fous, not bug
184, 513, mlle, bug
185, 514, rentrer, bug
186, 515, ait, bug
187, 517, arrêtez, bug
188, 520, reviens, not bug
189, 523, attend, bug
190, 527, ira, bug
191, 528, e, bug
192, 532, new, bug
193, 534, pensé, bug
194, 535, l, bug
195, 538, adore, bug
196, 539, coeur, bug
197, 540, aimes, not bug
198, 541, ci, bug
199, 542, ferai, bug
200, 546, entends, not bug
201, 548, appelé, bug
202, 550, john, bug
203, 551, sors, not bug
204, 553, vaut, bug
205, 555, chéri, bug
206, 556, oublié, bug
207, 558, i, bug
208, 560, faute, bug
209, 566, commence, bug
210, 569, ies, not bug
211, 575, morts, not bug
212, 577, écrit, bug
213, 580, sinon, bug
214, 581, génial, bug
215, 583, veulent, bug
216, 585, rentre, bug
217, 586, travaille, bug
218, 588, voulu, bug
219, 589, cherche, bug
220, 597, york, bug
221, 598, laissé, bug
222, 600, mets, not bug
223, 602, soyez, bug
224, 603, jack, bug
225, 605, faisait, bug
226, 609, t, bug
227, 613, semble, bug
228, 616, penses, not bug
229, 617, parles, not bug
230, 621, voyons, not bug
231, 624, allait, bug
232, 625, d, bug
233, 631, morte, bug
234, 636, serais, not bug
235, 387, écoute, bug
236, 639, étiez, bug
237, 644, essayé, bug
238, 645, peuvent, bug
239, 648, changé, bug
240, 650, inquiète, bug
241, 657, semaines, not bug
242, 659, questions, not bug
243, 662, allé, bug
244, 667, petits, not bug
245, 670, nouvelles, not bug
246, 675, millions, not bug
247, 676, oublie, bug
248, 682, bouge, bug
249, 685, restez, bug
250, 686, celle, bug
251, 687, pouvais, not bug
252, 688, personnes, not bug
253, 689, ferais, not bug
254, 693, acheter, bug
255, 694, continue, bug
256, 698, j, bug
257, 701, sorte, bug
258, 705, certains, not bug
259, 707, promis, not bug
260, 709, ouvre, bug
261, 711, sûre, bug
262, 712, problèmes, not bug
263, 713, armes, not bug
264, 716, allais, not bug
265, 717, occupe, bug
266, 718, devait, bug
267, 720, connaissez, bug
268, 722, avaient, bug
269, 727, laissez, bug
270, 730, pars, not bug
271, 732, croyez, bug
272, 737, pouvait, bug
273, 744, commencé, bug
274, 747, pensez, bug
275, 752, seras, not bug
276, 753, pied, bug
277, 754, jolie, bug
278, 757, pieds, not bug
279, 758, n, bug
280, 759, devons, not bug
281, 762, aurai, bug
282, 765, fallait, bug
283, 766, monte, bug
284, 768, noël, bug
285, 770, mots, not bug
286, 771, tire, bug
287, 772, droite, bug
288, 773, libre, bug
289, 774, soeur, bug
290, 776, seront, bug
291, 781, euh, bug
292, 783, tue, bug
293, 785, connaît, bug
294, 789, écoutez, bug
295, 790, george, bug
296, 791, joe, bug
297, 793, entrez, bug
298, 796, auras, not bug
299, 797, gagné, bug
300, 798, fric, bug
301, 802, cool, bug
302, 807, retrouver, bug
303, 808, réussi, bug
304, 809, frank, bug
305, 811, aviez, bug
306, 812, meilleure, bug
307, 814, prêts, not bug
308, 815, doucement, bug
309, 818, rappelle, bug
310, 819, sam, bug
311, 820, fut, bug
312, 822, ordres, not bug
313, 823, appel, bug
314, 825, terminé, bug
315, 826, agit, bug
316, 830, charlie, bug
317, 835, ignore, bug
318, 836, meurtre, bug
319, 840, disais, not bug
320, 842, tom, bug
321, 843, jeunes, not bug
322, 845, parlez, bug
323, 846, fasse, bug
324, 848, déteste, bug
325, 851, disait, bug
326, 852, mauvaise, bug
327, 853, envoyé, bug
328, 854, â, bug
329, 856, heureuse, bug
330, 857, doivent, bug
331, 861, ferait, bug
332, 863, vraie, bug
333, 868, sortez, bug
334, 870, puisse, bug
335, 872, flics, not bug
336, 876, décidé, bug
337, 881, b, bug
338, 882, su, bug
339, 884, télé, bug
340, 886, jure, bug
341, 887, disent, bug
342, 888, mr, bug
343, 889, serez, bug
344, 890, devriez, bug
345, 891, devenu, bug
346, 892, aimé, bug
347, 896, suppose, bug
348, 899, pote, bug
349, 900, grosse, bug
350, 906, photos, not bug
351, 907, contrôle, bug
352, 908, prête, bug
353, 910, sorti, bug
354, 911, k, bug
355, 912, bons, not bug
356, 913, disparu, bug
